Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
2985,89.4583,88.775,0.00639533,0.0200333
2990,89.4417,88.8,0.00639333,0.0200397
2995,89.4417,88.775,0.00639131,0.0200463
3000,89.5083,88.75,0.00638927,0.020053
3005,89.5167,88.775,0.00638722,0.0200597
3010,89.525,88.75,0.00638514,0.0200665
3015,89.5417,88.725,0.00638305,0.0200732
3020,89.525,88.75,0.00638093,0.0200798
3025,89.5583,88.75,0.00637878,0.0200862
3030,89.5583,88.825,0.00637659,0.0200924
3035,89.5417,88.825,0.00637435,0.0200982
3040,89.55,88.85,0.00637207,0.0201035
3045,89.5333,88.85,0.00636972,0.0201083
3050,89.5333,88.85,0.00636732,0.0201126
3055,89.5333,88.85,0.00636485,0.0201163
3060,89.5083,88.85,0.00636233,0.0201195
3065,89.475,88.9,0.00635975,0.0201221
3070,89.475,88.875,0.00635711,0.0201242
3075,89.4667,88.85,0.00635443,0.0201258
3080,89.4833,88.875,0.0063517,0.0201269
3085,89.475,88.85,0.00634895,0.0201277
3090,89.4667,88.85,0.00634616,0.0201282
3095,89.4667,88.85,0.00634334,0.0201285
3100,89.4833,88.825,0.00634051,0.0201287
3105,89.4583,88.85,0.00633767,0.0201289
3110,89.4667,88.9,0.00633481,0.0201292
3115,89.4833,88.9,0.00633196,0.0201296
3120,89.4833,88.95,0.0063291,0.0201302
3125,89.4917,88.975,0.00632626,0.020131
3130,89.4917,88.95,0.00632343,0.020132
3135,89.5333,88.95,0.00632063,0.0201333
3140,89.5583,88.95,0.00631785,0.0201349
3145,89.5417,88.925,0.00631511,0.0201367
3150,89.5333,88.925,0.00631242,0.0201388
3155,89.525,88.9,0.00630978,0.0201412
3160,89.525,88.9,0.00630722,0.020144
3165,89.525,88.9,0.00630473,0.0201472
3170,89.55,88.9,0.00630236,0.0201508
3175,89.5333,88.9,0.00630012,0.0201551
3180,89.5667,88.9,0.00629807,0.0201601
3185,89.6,88.9,0.00629627,0.0201659
3190,89.575,88.9,0.00629481,0.0201728
3195,89.5917,88.925,0.00629385,0.020181
3200,89.575,88.9,0.00629362,0.0201908
3205,89.5917,88.925,0.00629441,0.0202022
3210,89.5833,88.875,0.00629625,0.0202142
3215,89.5917,88.85,0.00629834,0.020225
3220,89.6417,88.875,0.00629808,0.0202337
3225,89.6667,88.85,0.00629266,0.0202353
3230,89.7,88.875,0.00628549,0.0202344
3235,89.7083,88.9,0.00628028,0.020255
3240,89.75,88.95,0.00627696,0.0202865
3245,89.7583,88.975,0.00627387,0.0202979
3250,89.725,88.975,0.00627019,0.0203185
3255,89.7083,88.975,0.00626721,0.0203594
3260,89.7417,89,0.00626849,0.0203961
3265,89.8083,88.95,0.00626813,0.0204195
3270,89.7333,89.075,0.00637543,0.0206229
3275,89.8167,89.2,0.00628547,0.020504
3280,89.875,89.05,0.0063448,0.020371
3285,89.8167,89.025,0.00623953,0.0204844
3290,89.9083,89.075,0.00624613,0.020489
3295,89.85,89.075,0.00624167,0.0204915
3300,89.8083,89,0.00623704,0.0205032
3305,89.7917,88.975,0.00622744,0.0205328
3310,89.8,88.975,0.00621501,0.0205609
3315,89.8083,89,0.00620483,0.0205858
3320,89.8083,89,0.0061963,0.0206063
3325,89.8083,89,0.00618861,0.0206236
3330,89.85,89.075,0.00618131,0.0206379
3335,89.8333,89.025,0.00617437,0.0206492
3340,89.875,89.075,0.00616796,0.0206581
3345,89.8833,89.1,0.00616208,0.0206653
3350,89.8667,89.075,0.00615655,0.0206717
3355,89.8667,89.025,0.00615117,0.0206773
3360,89.875,89.025,0.00614586,0.0206819
3365,89.8917,89,0.00614064,0.0206851
3370,89.8833,89,0.0061356,0.0206865
3375,89.8917,89,0.00613082,0.0206858
3380,89.8917,89.025,0.00612632,0.0206832
3385,89.9,89.025,0.0061221,0.0206785
3390,89.8833,89.025,0.00611811,0.0206718
3395,89.9,89.075,0.00611432,0.0206632
3400,89.9083,89.075,0.00611068,0.0206528
3405,89.8917,89.075,0.00610716,0.0206407
3410,89.8833,89.025,0.00610373,0.0206268
3415,89.9083,89.025,0.00610038,0.0206113
3420,89.925,89,0.0060971,0.0205941
3425,89.9083,88.975,0.0060939,0.0205752
3430,89.9167,88.975,0.00609079,0.0205546
3435,89.9333,88.975,0.00608777,0.0205323
3440,89.9333,88.975,0.00608486,0.0205081
3445,89.9583,88.975,0.00608205,0.0204821
3450,89.9917,88.925,0.00607936,0.0204541
3455,89.9833,88.9,0.00607678,0.0204243
3460,89.9917,88.925,0.0060743,0.020393
3465,89.975,88.95,0.00607188,0.0203606
3470,89.9917,88.95,0.00606946,0.0203283
3475,90.0083,88.925,0.00606702,0.020297
3480,90.025,88.875,0.00606456,0.0202679
3485,90.0333,88.825,0.00606206,0.0202411
3490,90.05,88.8,0.00605943,0.0202166
3495,90.0167,88.8,0.00605654,0.0201941
3500,90.0167,88.775,0.0060534,0.0201732
3505,89.9917,88.75,0.00605007,0.0201536
3510,90.0083,88.775,0.00604665,0.0201352
3515,90.0333,88.775,0.00604322,0.0201179
3520,90.0333,88.775,0.00603979,0.0201015
3525,90.0083,88.775,0.00603638,0.0200861
3530,89.9833,88.775,0.00603299,0.0200714
3535,89.9833,88.775,0.00602961,0.0200574
3540,89.9583,88.8,0.00602623,0.020044
3545,89.9333,88.775,0.00602287,0.0200312
3550,89.9583,88.75,0.00601952,0.0200189
3555,89.9667,88.75,0.00601617,0.0200071
3560,90,88.775,0.0060128,0.0199958
3565,90,88.8,0.0060094,0.0199847
3570,90.0083,88.775,0.00600596,0.019974
3575,90.025,88.825,0.00600248,0.0199636
3580,90.025,88.825,0.00599896,0.0199534
3585,90.0333,88.825,0.0059954,0.0199433
3590,90.025,88.825,0.00599181,0.0199334
3595,90,88.825,0.00598817,0.0199236
3600,89.9917,88.825,0.00598451,0.0199139
3605,90.0083,88.825,0.00598082,0.0199041
3610,90.0333,88.8,0.00597712,0.0198944
3615,90.0417,88.8,0.0059734,0.0198846
3620,90.0333,88.775,0.00596968,0.0198748
3625,90.0417,88.775,0.00596595,0.0198649
3630,90.05,88.825,0.00596224,0.0198549
3635,90.025,88.8,0.00595853,0.0198447
3640,90.025,88.8,0.00595484,0.0198345
3645,90,88.85,0.00595117,0.0198241
3650,90.0333,88.85,0.00594752,0.0198136
3655,90.05,88.875,0.0059439,0.019803
3660,90.05,88.85,0.00594031,0.0197923
3665,90.0583,88.85,0.00593676,0.0197815
3670,90.0667,88.875,0.00593324,0.0197707
3675,90.05,88.9,0.00592977,0.0197598
3680,90.0417,88.9,0.00592633,0.019749
3685,90.0667,88.9,0.00592294,0.0197382
3690,90.0833,88.9,0.0059196,0.0197274
3695,90.0917,88.9,0.0059163,0.0197167
3700,90.0917,88.9,0.00591306,0.0197061
3705,90.1,88.95,0.00590986,0.0196956
3710,90.125,88.95,0.00590671,0.0196852
3715,90.1333,88.925,0.0059036,0.0196748
3720,90.1417,88.925,0.00590055,0.0196646
3725,90.1167,88.95,0.00589754,0.0196545
3730,90.1083,88.925,0.00589458,0.0196444
3735,90.1,88.925,0.00589167,0.0196344
3740,90.1083,88.9,0.00588879,0.0196245
3745,90.1083,88.85,0.00588595,0.0196146
3750,90.1167,88.825,0.00588316,0.0196048
3755,90.1333,88.825,0.0058804,0.019595
3760,90.1417,88.825,0.00587767,0.0195853
3765,90.1417,88.825,0.00587498,0.0195756
3770,90.1333,88.825,0.00587232,0.019566
3775,90.1333,88.825,0.00586969,0.0195565
3780,90.125,88.85,0.00586709,0.0195472
3785,90.125,88.85,0.00586452,0.019538
3790,90.125,88.825,0.00586198,0.0195289
3795,90.1,88.825,0.00585947,0.0195202
3800,90.0917,88.875,0.005857,0.0195116
3805,90.0833,88.875,0.00585456,0.0195034
3810,90.0833,88.85,0.00585215,0.0194954
3815,90.0917,88.875,0.00584979,0.0194877
3820,90.1167,88.9,0.00584746,0.0194803
3825,90.125,88.9,0.00584517,0.0194732
3830,90.1167,88.875,0.00584292,0.0194664
3835,90.1417,88.9,0.00584072,0.0194599
3840,90.1,88.9,0.00583855,0.0194536
3845,90.0833,88.9,0.00583643,0.0194475
3850,90.1083,88.9,0.00583434,0.0194417
3855,90.1167,88.925,0.00583229,0.019436
3860,90.125,88.9,0.00583028,0.0194306
3865,90.1417,88.925,0.00582831,0.0194254
3870,90.1417,88.925,0.00582637,0.0194204
3875,90.1417,88.975,0.00582447,0.0194156
3880,90.15,88.975,0.0058226,0.019411
3885,90.1583,88.975,0.00582076,0.0194067
3890,90.2,88.95,0.00581896,0.0194026
3895,90.2083,88.95,0.00581719,0.0193987
3900,90.1833,88.95,0.00581545,0.0193951
3905,90.1833,88.925,0.00581375,0.0193918
3910,90.1917,88.925,0.00581208,0.0193888
3915,90.1833,88.95,0.00581044,0.019386
3920,90.175,88.95,0.00580884,0.0193836
3925,90.1417,88.95,0.00580728,0.0193815
3930,90.15,88.95,0.00580575,0.0193797
3935,90.15,88.95,0.00580425,0.0193781
3940,90.1417,88.975,0.00580279,0.0193768
3945,90.1667,88.975,0.00580135,0.0193756
3950,90.1833,88.975,0.00579995,0.0193745
3955,90.1917,88.95,0.00579858,0.0193735
3960,90.2,88.975,0.00579723,0.0193726
3965,90.2083,88.975,0.0057959,0.0193716
3970,90.1833,88.975,0.00579458,0.0193705
3975,90.175,88.975,0.00579329,0.0193694
3980,90.1917,89,0.005792,0.0193682
3985,90.2,89.025,0.00579071,0.0193668
3990,90.1917,89.025,0.00578943,0.0193654
3995,90.1917,89.05,0.00578814,0.0193638
4000,90.1667,89.025,0.00578684,0.0193621
4005,90.175,89.075,0.00578554,0.0193603
4010,90.15,89.075,0.00578421,0.0193585
4015,90.1417,89.075,0.00578287,0.0193566
4020,90.1333,89.05,0.00578151,0.0193546
4025,90.1167,89.05,0.00578013,0.0193526
4030,90.125,89.05,0.00577872,0.0193505
4035,90.1333,89.075,0.00577729,0.0193485
4040,90.15,89.075,0.00577584,0.0193464
4045,90.1417,89.05,0.00577437,0.0193444
4050,90.15,89.075,0.00577288,0.0193423
4055,90.15,89.125,0.00577138,0.0193403
4060,90.1667,89.075,0.00576986,0.0193382
4065,90.1833,89.05,0.00576833,0.0193362
4070,90.1917,89.05,0.00576679,0.0193342
4075,90.1917,89.025,0.00576524,0.0193323
4080,90.1917,89.05,0.00576369,0.0193303
4085,90.1917,89.075,0.00576214,0.0193284
4090,90.2,89.075,0.00576059,0.0193265
4095,90.1833,89.05,0.00575904,0.0193247
4100,90.1833,89.025,0.0057575,0.0193229
4105,90.175,89.075,0.00575597,0.0193212
4110,90.175,89.05,0.00575444,0.0193195
4115,90.175,89.025,0.00575292,0.0193178
4120,90.1583,89,0.00575141,0.0193163
4125,90.1667,89,0.00574991,0.0193148
4130,90.2,89,0.00574841,0.0193133
4135,90.2,89.025,0.00574693,0.0193119
4140,90.2,89.1,0.00574546,0.0193106
4145,90.2,89.075,0.00574399,0.0193094
4150,90.2,89.075,0.00574254,0.0193082
4155,90.225,89.075,0.00574109,0.0193071
4160,90.2333,89.05,0.00573966,0.0193061
4165,90.2417,89.05,0.00573823,0.0193052
4170,90.2417,89.025,0.00573681,0.0193043
4175,90.2417,89.025,0.0057354,0.0193035
4180,90.2417,89.025,0.00573399,0.0193028
4185,90.2583,89.025,0.00573259,0.0193022
4190,90.275,89.025,0.0057312,0.0193016
4195,90.275,89.025,0.00572982,0.019301
4200,90.2917,89,0.00572844,0.0193006
4205,90.2917,89,0.00572707,0.0193002
4210,90.3,89,0.0057257,0.0192998
4215,90.3,89,0.00572433,0.0192995
4220,90.3083,89.05,0.00572297,0.0192993
4225,90.3333,89.05,0.00572162,0.0192991
4230,90.3333,89.075,0.00572026,0.019299
4235,90.35,89.075,0.00571891,0.0192989
4240,90.3667,89.05,0.00571757,0.0192989
4245,90.3667,89.025,0.00571622,0.0192989
4250,90.3667,89.05,0.00571488,0.019299
4255,90.3583,89.05,0.00571354,0.0192991
4260,90.35,89.075,0.0057122,0.0192992
4265,90.3583,89.075,0.00571087,0.0192994
4270,90.3667,89.075,0.00570954,0.0192997
4275,90.3833,89.075,0.00570821,0.0193
4280,90.375,89.075,0.00570688,0.0193004
4285,90.375,89.05,0.00570555,0.0193008
4290,90.3833,89.025,0.00570423,0.0193012
4295,90.4,89.05,0.00570291,0.0193017
4300,90.4083,89.05,0.00570159,0.0193023
4305,90.425,89.075,0.00570028,0.0193029
4310,90.45,89.05,0.00569897,0.0193036
4315,90.45,89.05,0.00569767,0.0193043
4320,90.4583,89.05,0.00569637,0.0193051
4325,90.4667,89.05,0.00569507,0.0193059
4330,90.4667,89.05,0.00569378,0.0193068
4335,90.4667,89.075,0.0056925,0.0193078
4340,90.4917,89.1,0.00569122,0.0193089
4345,90.4917,89.1,0.00568994,0.01931
4350,90.4833,89.125,0.00568868,0.0193111
4355,90.4833,89.125,0.00568742,0.0193124
4360,90.5,89.125,0.00568616,0.0193137
4365,90.5,89.15,0.00568491,0.0193151
4370,90.5083,89.15,0.00568367,0.0193166
4375,90.5,89.15,0.00568243,0.0193182
4380,90.5083,89.175,0.0056812,0.0193199
4385,90.5,89.175,0.00567997,0.0193216
4390,90.5,89.15,0.00567874,0.0193235
4395,90.4917,89.125,0.00567752,0.0193254
4400,90.5,89.125,0.00567631,0.0193275
4405,90.5083,89.125,0.00567509,0.0193297
4410,90.5083,89.125,0.00567388,0.0193319
4415,90.5167,89.125,0.00567267,0.0193343
4420,90.525,89.125,0.00567146,0.0193368
4425,90.5333,89.125,0.00567025,0.0193394
4430,90.5333,89.125,0.00566904,0.0193421
4435,90.525,89.15,0.00566783,0.0193449
4440,90.5333,89.125,0.00566661,0.0193479
4445,90.525,89.15,0.0056654,0.0193509
4450,90.5167,89.175,0.00566418,0.019354
4455,90.5167,89.2,0.00566296,0.0193573
4460,90.5333,89.175,0.00566173,0.0193606
4465,90.5417,89.125,0.0056605,0.0193641
4470,90.5167,89.125,0.00565927,0.0193676
4475,90.5083,89.125,0.00565803,0.0193713
4480,90.5167,89.15,0.00565678,0.019375
4485,90.5333,89.15,0.00565553,0.0193789
4490,90.5167,89.125,0.00565428,0.0193828
4495,90.5083,89.125,0.00565302,0.0193868
4500,90.5083,89.15,0.00565175,0.019391
4505,90.525,89.15,0.00565048,0.0193952
4510,90.5333,89.15,0.0056492,0.0193995
4515,90.55,89.125,0.00564792,0.0194039
4520,90.5417,89.15,0.00564663,0.0194084
4525,90.5417,89.15,0.00564534,0.0194131
4530,90.5417,89.175,0.00564404,0.0194178
4535,90.5417,89.15,0.00564274,0.0194227
4540,90.5417,89.175,0.00564143,0.0194276
4545,90.5417,89.2,0.00564012,0.0194328
4550,90.5333,89.225,0.0056388,0.019438
4555,90.5417,89.225,0.00563748,0.0194434
4560,90.5417,89.2,0.00563616,0.019449
4565,90.5833,89.175,0.00563483,0.0194547
4570,90.575,89.15,0.0056335,0.0194605
4575,90.6,89.15,0.00563217,0.0194666
4580,90.575,89.15,0.00563083,0.0194728
4585,90.575,89.175,0.00562949,0.0194793
4590,90.575,89.175,0.00562814,0.0194859
4595,90.5917,89.2,0.00562679,0.0194927
4600,90.6,89.25,0.00562544,0.0194997
4605,90.5917,89.25,0.00562408,0.0195069
4610,90.6083,89.25,0.00562272,0.0195144
4615,90.6167,89.275,0.00562135,0.019522
4620,90.6083,89.3,0.00561998,0.0195299
4625,90.6167,89.3,0.0056186,0.019538
4630,90.6083,89.3,0.00561721,0.0195463
4635,90.6,89.275,0.00561582,0.0195548
4640,90.6083,89.25,0.00561442,0.0195635
4645,90.6167,89.25,0.00561299,0.0195724
4650,90.6083,89.225,0.00561162,0.0195815
4655,90.6417,89.225,0.00561007,0.0195905
4660,90.6167,89.25,0.00560931,0.0196006
4665,90.625,89.25,0.00560798,0.0196064
4670,90.7167,89.3,0.0058799,0.0196643
4675,90.725,89.475,0.00609448,0.0198027
4680,90.85,89.325,0.0058839,0.0194838
4685,90.8083,89.4,0.00564187,0.019581
4690,90.725,89.475,0.00573132,0.0194039
4695,90.7167,89.35,0.0056841,0.0195805
4700,90.725,89.375,0.00564489,0.0196651
4705,90.7083,89.35,0.00564038,0.019658
4710,90.7333,89.4,0.00561571,0.0196674
4715,90.7583,89.3,0.00564368,0.0196804
4720,90.7917,89.425,0.00560382,0.0197039
4725,90.75,89.4,0.00562328,0.0196974
4730,90.8167,89.375,0.00560527,0.0197169
4735,90.7667,89.4,0.00559912,0.019723
4740,90.7083,89.35,0.00558724,0.0197408
4745,90.7917,89.425,0.0056038,0.0197391
4750,90.7667,89.4,0.00561597,0.0198008
4755,90.8,89.35,0.0056018,0.0197787
4760,90.7333,89.4,0.00559519,0.0198209
4765,90.8,89.425,0.00559724,0.0198049
4770,90.7417,89.4,0.0055814,0.0198366
4775,90.7667,89.425,0.00557556,0.0198331
4780,90.7583,89.4,0.00556886,0.0198594
4785,90.7583,89.425,0.00556699,0.0198788
4790,90.75,89.425,0.00556507,0.019903
4795,90.75,89.425,0.00556394,0.0199239
4800,90.75,89.45,0.00556161,0.0199456
4805,90.7667,89.4,0.00556508,0.0199598
4810,90.7333,89.425,0.00555744,0.0199904
4815,90.75,89.4,0.00556712,0.0199852
4820,90.7083,89.35,0.00555303,0.0200222
4825,90.6833,89.375,0.00556617,0.0200086
4830,90.7,89.375,0.00554905,0.0200498
4835,90.6833,89.35,0.0055625,0.0200239
4840,90.7083,89.35,0.00554333,0.0200622
4845,90.7167,89.35,0.00555615,0.0200418
4850,90.675,89.3,0.00553841,0.0200792
4855,90.7333,89.325,0.00555007,0.0200631
4860,90.7083,89.3,0.00553348,0.0200983
4865,90.7583,89.325,0.00554305,0.0200875
4870,90.7083,89.3,0.00552895,0.0201175
4875,90.7333,89.325,0.00553516,0.0201126
4880,90.7417,89.3,0.00552496,0.0201348
4885,90.7333,89.325,0.00552685,0.0201369
4890,90.7583,89.275,0.00552129,0.0201514
4895,90.7417,89.3,0.00551962,0.0201591
4900,90.7417,89.275,0.00551651,0.0201692
4905,90.7083,89.3,0.00551375,0.0201787
4910,90.7,89.3,0.00551093,0.0201882
4915,90.7167,89.3,0.00550812,0.0201975
4920,90.7333,89.3,0.00550533,0.0202067
4925,90.7417,89.3,0.00550256,0.0202157
4930,90.725,89.3,0.00549982,0.0202246
4935,90.7333,89.325,0.00549712,0.0202334
4940,90.7417,89.35,0.00549447,0.020242
4945,90.725,89.35,0.00549188,0.0202504
4950,90.7333,89.375,0.00548934,0.0202587
4955,90.725,89.35,0.00548685,0.0202669
4960,90.7167,89.325,0.00548442,0.0202748
4965,90.7083,89.325,0.00548204,0.0202826
4970,90.7083,89.325,0.00547971,0.0202902
4975,90.6917,89.3,0.00547743,0.0202976
4980,90.6917,89.3,0.00547518,0.0203047
4985,90.7167,89.3,0.00547298,0.0203117
4990,90.7333,89.3,0.00547081,0.0203184
4995,90.7417,89.3,0.00546867,0.0203249
5000,90.75,89.3,0.00546655,0.0203312
5005,90.7583,89.3,0.00546447,0.0203373
5010,90.7667,89.325,0.00546241,0.0203431
5015,90.7833,89.325,0.00546038,0.0203488
5020,90.775,89.35,0.00545837,0.0203542
5025,90.7833,89.35,0.00545638,0.0203594
5030,90.7917,89.325,0.00545441,0.0203645
5035,90.8,89.325,0.00545247,0.0203694
5040,90.8167,89.325,0.00545055,0.0203742
5045,90.8167,89.35,0.00544865,0.0203788
5050,90.8333,89.35,0.00544677,0.0203832
5055,90.8417,89.375,0.00544492,0.0203876
5060,90.8417,89.375,0.00544308,0.0203918
5065,90.8333,89.375,0.00544126,0.0203959
5070,90.8417,89.375,0.00543947,0.0204
5075,90.8417,89.375,0.0054377,0.0204039
5080,90.85,89.375,0.00543594,0.0204078
5085,90.825,89.375,0.00543421,0.0204116
5090,90.825,89.375,0.00543249,0.0204153
5095,90.8417,89.35,0.0054308,0.0204189
5100,90.8333,89.375,0.00542912,0.0204225
5105,90.825,89.4,0.00542746,0.020426
5110,90.8167,89.4,0.00542582,0.0204295
5115,90.825,89.4,0.00542419,0.020433
5120,90.8333,89.425,0.00542258,0.0204363
5125,90.8333,89.425,0.00542099,0.0204397
5130,90.8417,89.4,0.00541941,0.020443
5135,90.8667,89.4,0.00541785,0.0204462
5140,90.875,89.4,0.0054163,0.0204494
5145,90.8917,89.375,0.00541477,0.0204526
5150,90.9,89.375,0.00541325,0.0204557
5155,90.8917,89.375,0.00541174,0.0204588
5160,90.9167,89.375,0.00541025,0.0204618
5165,90.9083,89.375,0.00540877,0.0204648
5170,90.9167,89.375,0.00540731,0.0204677
5175,90.9333,89.375,0.00540586,0.0204706
5180,90.95,89.4,0.00540442,0.0204734
5185,90.975,89.4,0.005403,0.0204761
5190,90.9583,89.4,0.00540158,0.0204788
5195,90.95,89.4,0.00540018,0.0204814
5200,90.925,89.4,0.00539879,0.0204839
5205,90.9333,89.375,0.00539742,0.0204863
5210,90.9333,89.375,0.00539605,0.0204887
5215,90.9333,89.375,0.0053947,0.0204909
5220,90.9417,89.425,0.00539335,0.0204931
5225,90.9583,89.425,0.00539202,0.0204952
5230,90.9667,89.425,0.0053907,0.0204971
5235,90.9583,89.425,0.00538939,0.020499
5240,90.9583,89.425,0.00538809,0.0205007
5245,90.9667,89.45,0.00538679,0.0205023
5250,90.975,89.45,0.00538551,0.0205038
5255,90.9917,89.45,0.00538424,0.0205052
5260,90.9917,89.425,0.00538298,0.0205065
5265,91,89.425,0.00538172,0.0205076
5270,91,89.425,0.00538048,0.0205086
5275,91,89.45,0.00537924,0.0205095
5280,91.0083,89.45,0.00537801,0.0205103
5285,91.025,89.425,0.00537678,0.0205109
5290,91.025,89.425,0.00537557,0.0205114
5295,91.0167,89.425,0.00537436,0.0205118
5300,91.0333,89.45,0.00537316,0.020512
5305,91.0417,89.45,0.00537196,0.0205122
5310,91.0417,89.45,0.00537077,0.0205122
5315,91.05,89.45,0.00536958,0.0205121
5320,91.05,89.45,0.0053684,0.0205119
5325,91.05,89.45,0.00536723,0.0205116
5330,91.0417,89.45,0.00536606,0.0205111
5335,91.0333,89.45,0.00536489,0.0205106
5340,91.025,89.45,0.00536373,0.02051
5345,91.025,89.45,0.00536257,0.0205093
5350,91.0333,89.45,0.00536141,0.0205085
5355,91.0417,89.45,0.00536026,0.0205076
5360,91.0333,89.475,0.00535911,0.0205067
5365,91.0417,89.5,0.00535797,0.0205057
5370,91.0417,89.5,0.00535682,0.0205046
5375,91.05,89.5,0.00535568,0.0205034
5380,91.05,89.525,0.00535454,0.0205023
5385,91.05,89.525,0.0053534,0.020501
5390,91.0583,89.55,0.00535226,0.0204998
5395,91.0583,89.55,0.00535113,0.0204985
5400,91.0667,89.55,0.00534999,0.0204972
5405,91.0667,89.55,0.00534886,0.0204958
5410,91.0833,89.55,0.00534772,0.0204945
5415,91.0667,89.55,0.00534659,0.0204931
5420,91.0833,89.55,0.00534546,0.0204918
5425,91.0833,89.55,0.00534433,0.0204904
5430,91.0833,89.575,0.0053432,0.0204891
5435,91.0917,89.575,0.00534207,0.0204878
5440,91.1,89.575,0.00534094,0.0204865
5445,91.0833,89.6,0.00533981,0.0204852
5450,91.0833,89.65,0.00533868,0.0204839
5455,91.1,89.65,0.00533756,0.0204827
5460,91.1083,89.65,0.00533643,0.0204816
5465,91.1083,89.65,0.0053353,0.0204804
5470,91.125,89.65,0.00533417,0.0204793
5475,91.1333,89.65,0.00533304,0.0204783
5480,91.1417,89.65,0.00533192,0.0204772
5485,91.1583,89.65,0.00533079,0.0204763
5490,91.1583,89.65,0.00532966,0.0204753
5495,91.1333,89.65,0.00532853,0.0204744
5500,91.125,89.65,0.0053274,0.0204736
5505,91.125,89.625,0.00532627,0.0204728
5510,91.1333,89.625,0.00532514,0.020472
5515,91.1417,89.65,0.00532402,0.0204713
5520,91.1417,89.65,0.00532288,0.0204706
5525,91.1417,89.625,0.00532175,0.0204699
5530,91.1583,89.65,0.00532062,0.0204693
5535,91.1417,89.65,0.00531949,0.0204687
5540,91.1333,89.65,0.00531835,0.0204681
5545,91.1167,89.65,0.00531722,0.0204676
5550,91.1083,89.65,0.00531608,0.020467
5555,91.1,89.7,0.00531494,0.0204665
5560,91.0917,89.7,0.0053138,0.0204661
5565,91.1,89.7,0.00531266,0.0204656
5570,91.1,89.7,0.00531152,0.0204651
5575,91.0917,89.675,0.00531037,0.0204647
5580,91.0833,89.675,0.00530922,0.0204642
5585,91.0667,89.65,0.00530807,0.0204638
5590,91.05,89.65,0.00530691,0.0204633
5595,91.05,89.625,0.00530575,0.0204629
5600,91.0417,89.625,0.00530459,0.0204624
5605,91.0333,89.6,0.00530342,0.020462
5610,91.0417,89.6,0.00530225,0.0204615
5615,91.0333,89.6,0.00530108,0.020461
5620,91.0417,89.6,0.0052999,0.0204604
5625,91.0417,89.6,0.00529872,0.0204599
5630,91.0417,89.6,0.00529753,0.0204593
5635,91.0583,89.6,0.00529634,0.0204586
5640,91.0583,89.65,0.00529515,0.0204579
5645,91.0667,89.65,0.00529396,0.0204571
5650,91.075,89.675,0.00529277,0.0204562
5655,91.0667,89.675,0.00529158,0.0204552
5660,91.0667,89.65,0.00529041,0.0204541
5665,91.0833,89.65,0.00528924,0.0204528
5670,91.1083,89.65,0.00528811,0.0204513
5675,91.1,89.65,0.005287,0.0204496
5680,91.1083,89.675,0.00528596,0.0204475
5685,91.075,89.7,0.005285,0.0204451
5690,91.075,89.675,0.00528417,0.0204423
5695,91.0917,89.675,0.00528355,0.0204388
5700,91.0833,89.675,0.0052833,0.0204345
5705,91.1,89.675,0.00528368,0.0204293
5710,91.1667,89.625,0.00528543,0.0204229
5715,91.1833,89.475,0.0053316,0.0201517
5720,91.3,89.6,0.00572589,0.020675
5725,91.475,89.675,0.00580431,0.02031
5730,91.175,89.8,0.00565153,0.020383
5735,91.3167,89.825,0.00566062,0.0205148
5740,91.4583,90,0.00566291,0.0203168
5745,91.4333,89.825,0.00540547,0.0205222
5750,91.2667,89.875,0.00552976,0.0205667
5755,91.3667,89.975,0.00542094,0.0205179
5760,91.3417,89.85,0.00536998,0.0205742
5765,91.2583,89.7,0.00582704,0.0203722
5770,91.45,89.775,0.00540475,0.0205129
5775,91.425,89.925,0.00542199,0.02046
5780,91.4333,89.675,0.00540639,0.0204736
5785,91.5083,89.85,0.00566533,0.0205347
5790,91.5583,89.75,0.0057359,0.0202712
5795,91.5333,89.925,0.00540041,0.0204396
5800,91.4417,89.65,0.00539922,0.0202696
5805,91.4083,90,0.00569103,0.020698
5810,91.3083,89.65,0.00596875,0.0200511
5815,91.5083,89.925,0.00542707,0.0204614
5820,91.2333,90,0.00538697,0.020595
5825,91.4333,90.025,0.00541003,0.0205593
5830,91.4583,89.9,0.00556537,0.0205879
5835,91.4167,89.875,0.00544944,0.0205986
5840,91.425,89.525,0.00613879,0.0204533
5845,91.425,89.95,0.00541903,0.0206359
5850,91.1833,89.825,0.00583679,0.0204167
5855,91.4917,89.95,0.00561382,0.0206231
5860,91.3167,90,0.00537976,0.020794
5865,91.3833,90.1,0.00550152,0.0207251
5870,91.325,89.975,0.00546092,0.0208427
5875,91.3667,90.025,0.00542475,0.0208574
5880,91.4417,90.1,0.00552097,0.020751
5885,91.4667,89.975,0.00551731,0.020787
5890,91.5,90.2,0.00544927,0.0209398
5895,91.3667,89.925,0.00532168,0.0208896
5900,91.375,90.175,0.00539918,0.0209147
5905,91.2667,89.9,0.00556445,0.0208743
5910,91.3583,90.075,0.00532367,0.0209652
5915,91.4917,89.925,0.00541868,0.0208289
5920,91.3,89.8,0.0056209,0.0208764
5925,91.2917,90.2,0.0054547,0.02111
5930,91.425,90.175,0.0054871,0.0208704
5935,91.4583,90.05,0.00546067,0.0208297
5940,91.4667,90.025,0.00541763,0.0209393
5945,91.425,89.875,0.00537996,0.0209084
5950,91.4583,90.1,0.0054482,0.0209183
