Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
700,82.5583,83.2,0.0111121,0.0199895
705,82.625,83.2,0.0110679,0.0199572
710,82.6583,83.35,0.0110263,0.0199499
715,82.6333,83.275,0.0109862,0.0199554
720,82.6417,83.325,0.0109474,0.0199723
725,82.6667,83.2,0.0109099,0.0199991
730,82.6833,83.25,0.0108731,0.020027
735,82.6917,83.35,0.0108356,0.0200436
740,82.7583,83.35,0.0107985,0.0200522
745,82.7917,83.45,0.0107626,0.0200612
750,82.825,83.575,0.010729,0.0200604
755,82.8583,83.7,0.0106981,0.0200532
760,82.9167,83.75,0.0106698,0.0200423
765,83.0167,83.825,0.0106438,0.0200315
770,83.0167,83.9,0.0106193,0.0200234
775,83.05,83.925,0.0105955,0.0200184
780,83.0667,83.825,0.0105719,0.0200149
785,83.125,83.825,0.0105483,0.0200125
790,83.2167,83.875,0.0105255,0.020013
795,83.1917,83.825,0.0105037,0.0200172
800,83.2333,83.8,0.0104827,0.0200246
805,83.3,83.775,0.0104616,0.0200331
810,83.325,83.85,0.0104395,0.0200407
815,83.35,83.95,0.0104158,0.0200463
820,83.4,83.975,0.0103901,0.0200499
825,83.475,83.975,0.0103628,0.0200528
830,83.4917,84.075,0.0103342,0.0200565
835,83.4417,83.975,0.0103048,0.0200623
840,83.5333,83.975,0.0102749,0.0200705
845,83.5833,84,0.0102449,0.0200804
850,83.6167,83.95,0.0102151,0.0200906
855,83.725,83.925,0.0101856,0.0200992
860,83.775,83.775,0.0101566,0.0201051
865,83.775,83.8,0.0101285,0.0201082
870,83.75,83.875,0.0101013,0.0201089
875,83.8083,83.85,0.010075,0.0201078
880,83.8,83.875,0.0100496,0.0201056
885,83.8417,84,0.0100249,0.0201027
890,83.9417,84.025,0.0100007,0.0200993
895,83.9833,84.15,0.00997679,0.020096
900,83.9917,84.175,0.00995346,0.0200936
905,84.0167,84.3,0.00993089,0.0200929
910,84.0333,84.3,0.00990922,0.0200949
915,84.05,84.375,0.00988852,0.0201003
920,84.125,84.375,0.00986873,0.0201095
925,84.125,84.35,0.00984975,0.0201225
930,84.1333,84.425,0.00983145,0.0201394
935,84.1833,84.4,0.00981368,0.0201597
940,84.225,84.4,0.00979632,0.0201829
945,84.2833,84.425,0.00977907,0.0202088
950,84.3,84.45,0.00976036,0.0202374
955,84.325,84.4,0.00973547,0.0202666
960,84.3833,84.425,0.00970389,0.0202935
965,84.3667,84.45,0.00967321,0.0203201
970,84.4417,84.475,0.00964452,0.0203454
975,84.5083,84.475,0.00961634,0.0203669
980,84.5417,84.55,0.00958872,0.0203836
985,84.525,84.6,0.00956182,0.0203971
990,84.6,84.575,0.00953551,0.0204088
995,84.6,84.55,0.00950946,0.0204192
1000,84.65,84.575,0.00948343,0.0204277
1005,84.6833,84.575,0.0094575,0.0204335
1010,84.6917,84.725,0.00943203,0.0204352
1015,84.6917,84.8,0.00940725,0.0204318
1020,84.65,84.825,0.00938311,0.020423
1025,84.7583,84.8,0.00935951,0.0204095
1030,84.7583,84.85,0.00933638,0.0203925
1035,84.8,84.9,0.00931369,0.0203738
1040,84.825,84.875,0.00929139,0.0203549
1045,84.875,84.825,0.0092693,0.020337
1050,84.9,84.8,0.00924722,0.020321
1055,84.9,84.9,0.00922497,0.020307
1060,84.9583,84.95,0.00920246,0.0202948
1065,84.9083,84.9,0.00917971,0.0202844
1070,84.9583,84.975,0.00915678,0.0202757
1075,84.9417,85,0.00913371,0.0202689
1080,84.9917,85.025,0.00911048,0.0202641
1085,85,85.125,0.00908708,0.0202618
1090,85.0333,85.15,0.00906348,0.0202619
1095,85.1083,85.125,0.00903972,0.0202646
1100,85.1417,85.175,0.0090159,0.0202696
1105,85.1917,85.2,0.00899212,0.0202767
1110,85.1667,85.225,0.00896852,0.0202855
1115,85.175,85.2,0.0089452,0.0202955
1120,85.225,85.25,0.00892224,0.0203063
1125,85.2417,85.3,0.0088997,0.0203176
1130,85.3083,85.325,0.00887763,0.020329
1135,85.3333,85.325,0.00885604,0.0203403
1140,85.3583,85.425,0.00883492,0.0203512
1145,85.4167,85.4,0.00881429,0.0203618
1150,85.425,85.375,0.0087941,0.0203718
1155,85.4167,85.35,0.00877436,0.0203814
1160,85.4583,85.325,0.00875503,0.0203905
1165,85.4833,85.375,0.00873612,0.0203991
1170,85.5583,85.375,0.00871759,0.020407
1175,85.55,85.3,0.00869943,0.0204144
1180,85.5417,85.375,0.00868158,0.0204209
1185,85.4833,85.4,0.00866395,0.0204268
1190,85.475,85.4,0.00864643,0.020432
1195,85.6,85.375,0.0086289,0.0204371
1200,85.6417,85.4,0.00861136,0.0204426
1205,85.6833,85.375,0.00859388,0.0204489
1210,85.7333,85.425,0.00857661,0.0204561
1215,85.8,85.475,0.00855969,0.0204642
1220,85.85,85.45,0.00854323,0.0204728
1225,85.8583,85.475,0.00852735,0.0204815
1230,85.8917,85.425,0.00851216,0.0204899
1235,85.925,85.4,0.0084978,0.0204976
1240,85.9167,85.425,0.00848441,0.0205044
1245,85.9333,85.45,0.00847216,0.02051
1250,85.9833,85.5,0.0084612,0.0205142
1255,85.9833,85.5,0.00845161,0.0205165
1260,86.025,85.5,0.00844325,0.0205162
1265,86,85.5,0.00843568,0.0205125
1270,86.0333,85.5,0.00842841,0.0205046
1275,85.9833,85.5,0.00842105,0.0204924
1280,85.975,85.5,0.00841332,0.0204766
1285,85.975,85.475,0.00840495,0.0204582
1290,86,85.5,0.00839567,0.0204384
1295,86.0583,85.525,0.00838527,0.020418
1300,86.0667,85.55,0.00837371,0.0203976
1305,86.1167,85.65,0.00836106,0.0203773
1310,86.1167,85.675,0.00834752,0.0203571
1315,86.1083,85.625,0.00833331,0.0203368
1320,86.1083,85.6,0.00831864,0.0203168
1325,86.15,85.65,0.00830372,0.0202973
1330,86.2083,85.7,0.00828875,0.0202787
1335,86.2667,85.725,0.00827388,0.0202614
1340,86.2583,85.75,0.00825931,0.0202455
1345,86.3167,85.8,0.0082452,0.0202311
1350,86.3167,85.95,0.00823174,0.0202181
1355,86.3,85.95,0.00821913,0.0202065
1360,86.3083,85.925,0.00820756,0.020196
1365,86.3333,85.975,0.00819697,0.0201861
1370,86.35,86,0.00818654,0.0201761
1375,86.4083,86,0.00817455,0.0201658
1380,86.4333,86.05,0.00816005,0.0201559
1385,86.4417,86.075,0.008144,0.0201474
1390,86.4833,86.075,0.00812769,0.0201402
1395,86.4667,86.1,0.00811182,0.020134
1400,86.525,86.075,0.0080966,0.020128
1405,86.525,86.025,0.00808203,0.0201218
1410,86.55,86.125,0.00806807,0.0201151
1415,86.6,86.05,0.00805468,0.0201075
1420,86.675,86.075,0.00804187,0.0200993
1425,86.7,86.125,0.00802957,0.0200903
1430,86.6667,86.175,0.00801759,0.0200802
1435,86.6417,86.175,0.00800598,0.0200687
1440,86.725,86.25,0.00799528,0.0200562
1445,86.7667,86.25,0.00798595,0.0200435
1450,86.7833,86.275,0.00797777,0.0200313
1455,86.7583,86.275,0.00796991,0.0200193
1460,86.7583,86.375,0.00796154,0.0200079
1465,86.7833,86.375,0.00795232,0.0199973
1470,86.7667,86.4,0.00794242,0.0199882
1475,86.75,86.45,0.00793215,0.0199812
1480,86.7417,86.45,0.00792176,0.0199765
1485,86.7333,86.45,0.00791136,0.0199744
1490,86.7583,86.5,0.00790102,0.0199746
1495,86.775,86.5,0.00789077,0.019977
1500,86.7917,86.55,0.00788062,0.0199813
1505,86.7833,86.55,0.00787059,0.0199872
1510,86.775,86.525,0.00786069,0.0199944
1515,86.7833,86.5,0.00785091,0.0200028
1520,86.8,86.475,0.00784124,0.0200121
1525,86.8,86.525,0.00783166,0.0200221
1530,86.8,86.55,0.00782214,0.0200328
1535,86.8167,86.525,0.00781264,0.020044
1540,86.8667,86.475,0.00780312,0.0200556
1545,86.875,86.5,0.00779357,0.0200677
1550,86.9,86.45,0.00778397,0.0200801
1555,86.8917,86.45,0.00777433,0.0200927
1560,86.9083,86.425,0.00776467,0.0201056
1565,86.8917,86.425,0.00775503,0.0201187
1570,86.8917,86.425,0.00774547,0.020132
1575,86.875,86.45,0.00773601,0.0201456
1580,86.8667,86.45,0.00772666,0.0201596
1585,86.925,86.475,0.0077174,0.020174
1590,86.9667,86.5,0.00770821,0.020189
1595,86.9833,86.475,0.00769902,0.0202047
1600,87,86.575,0.0076898,0.0202212
1605,86.9917,86.5,0.00768049,0.0202385
1610,86.95,86.45,0.00767105,0.0202567
1615,86.975,86.5,0.00766145,0.020276
1620,87.0167,86.525,0.00765167,0.0202962
1625,87.0167,86.625,0.00764169,0.0203177
1630,87.025,86.6,0.00763155,0.0203404
1635,87.075,86.6,0.00762125,0.0203644
1640,87.1,86.575,0.00761085,0.0203895
1645,87.1,86.6,0.00760039,0.0204154
1650,87.1333,86.55,0.00758977,0.0204393
1655,87.1667,86.6,0.00757804,0.0204487
1660,87.2083,86.6,0.00756604,0.0204584
1665,87.1583,86.625,0.0075542,0.0204804
1670,87.1083,86.625,0.0075427,0.0205039
1675,87.1333,86.575,0.00753233,0.0205265
1680,87.15,86.6,0.00752285,0.0205486
1685,87.1417,86.575,0.00751378,0.0205695
1690,87.1417,86.6,0.00750484,0.0205885
1695,87.175,86.675,0.00749588,0.0206053
1700,87.2417,86.7,0.00748685,0.0206199
1705,87.25,86.775,0.00747775,0.0206323
1710,87.225,86.775,0.00746862,0.0206428
1715,87.2417,86.825,0.00745949,0.0206518
1720,87.2667,86.8,0.00745037,0.0206596
1725,87.3083,86.825,0.00744129,0.0206664
1730,87.3583,86.825,0.00743224,0.0206725
1735,87.4167,86.85,0.00742324,0.0206781
1740,87.4083,86.875,0.00741429,0.0206832
1745,87.4083,86.9,0.00740539,0.0206881
1750,87.425,86.975,0.00739654,0.0206927
1755,87.4333,87,0.00738773,0.020697
1760,87.4667,87,0.00737897,0.0207012
1765,87.475,87.075,0.00737023,0.0207052
1770,87.4667,87.125,0.00736151,0.020709
1775,87.4833,87.125,0.00735277,0.0207126
1780,87.5167,87.1,0.00734402,0.020716
1785,87.5,87.15,0.00733523,0.0207191
1790,87.4917,87.275,0.00732641,0.0207221
1795,87.4917,87.3,0.00731756,0.020725
